original_column,original_row,Gene,column,row,q,target
15,8,YLR330W,30,15,B,Sho1
15,9,YDL065C,30,17,B,Sho1
15,10,YIL033C,30,19,B,Sho1
15,11,YDL199C,30,21,B,Sho1
15,12,YNR007C,30,23,B,Sho1
15,13,YKR048C,30,25,B,Sho1
15,14,YJL210W,30,27,B,Sho1
15,15,YNL243W,30,29,B,Sho1
15,16,border,30,31,B,Sho1
16,1,border,32,1,B,Sho1
16,2,YBR130C,32,3,B,Sho1
16,3,YGR238C,32,5,B,Sho1
16,4,YAR042W,32,7,B,Sho1
16,5,YNL307C,32,9,B,Sho1
16,6,YCR002C,32,11,B,Sho1
16,7,YER114C,32,13,B,Sho1
16,8,YFR040W,32,15,B,Sho1
16,9,YJR083C,32,17,B,Sho1
16,10,YKL051W,32,19,B,Sho1
16,11,YHR114W,32,21,B,Sho1
16,12,YBL007C,32,23,B,Sho1
16,13,YJL095W,32,25,B,Sho1
16,14,YAR014C,32,27,B,Sho1
16,15,YNL243W,32,29,B,Sho1
16,16,border,32,31,B,Sho1
17,1,border,34,1,B,Sho1
17,2,YNR007C,34,3,B,Sho1
17,3,YGR281W,34,5,B,Sho1
17,4,YJL020C,34,7,B,Sho1
17,5,YOR035C,34,9,B,Sho1
17,6,YJL164C,34,11,B,Sho1
17,7,YNL084C,34,13,B,Sho1
17,8,YDR166C,34,15,B,Sho1
17,9,YFL010C,34,17,B,Sho1
17,10,YJL042W,34,19,B,Sho1
17,11,YJR076C,34,21,B,Sho1
17,12,YGL242C,34,23,B,Sho1
17,13,YDR507C,34,25,B,Sho1
17,14,YBR177C,34,27,B,Sho1
17,15,YOR081C,34,29,B,Sho1
17,16,border,34,31,B,Sho1
18,1,border,36,1,B,Sho1
18,2,YFR004W,36,3,B,Sho1
18,3,YMR080C,36,5,B,Sho1
18,4,YER166W,36,7,B,Sho1
18,5,YAR014C,36,9,B,Sho1
18,6,YBR023C,36,11,B,Sho1
18,7,YFR004W,36,13,B,Sho1
18,8,YFL010C,36,15,B,Sho1
18,9,YDL225W,36,17,B,Sho1
18,10,YBR130C,36,19,B,Sho1
18,11,YNL287W,36,21,B,Sho1
18,12,YIL033C,36,23,B,Sho1
18,13,YDR507C,36,25,B,Sho1
18,14,YAL005C,36,27,B,Sho1
18,15,YER118C,36,29,B,Sho1
18,16,border,36,31,B,Sho1
19,1,border,38,1,B,Sho1
19,2,YBL017C,38,3,B,Sho1
19,3,YOL100W,38,5,B,Sho1
19,4,YPR154W,38,7,B,Sho1
19,5,YLR119W,38,9,B,Sho1
19,6,YAL005C,38,11,B,Sho1
19,7,YMR192W,38,13,B,Sho1
19,8,YDL226C,38,15,B,Sho1
19,9,YLL048C,38,17,B,Sho1
19,10,YOR204W,38,19,B,Sho1
19,11,YBR177C,38,21,B,Sho1
19,12,YDR368W,38,23,B,Sho1
19,13,YCR088W,38,25,B,Sho1
19,14,YJL164C,38,27,B,Sho1
19,15,YHR016C,38,29,B,Sho1
